"Accepted Symbol","Synonym Symbol","Scientific Name","Duration","Active Growth Period","Foliage Color","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (°F)"
"DIMI","","Dichondra micrantha","Perennial","","","","","","","",""
"DIOC2","","Dichondra occidentalis","Perennial","","","","","","","",""
"DIRE2","","Dichondra recurvata","Perennial","","","","","","","",""
"DISE8","","Dichondra sericea","Perennial","","","","","","","",""
"DICHR3","","Dichromanthus","","","","","","","","",""
"DICI3","","Dichromanthus cinnabarinus","Perennial","","","","","","","",""
"DICHR2","","Dichrostachys","","","","","","","","",""
"DICI2","","Dichrostachys cinerea","Perennial","","","","","","","",""
"DICKS","","Dicksonia","","","","","","","","",""
"DIAN8","","Dicksonia antarctica","","","","","","","","",""
"DISQ2","","Dicksonia squarrosa","","","","","","","","",""
"DICLI","","Dicliptera","","","","","","","","",""
"DIBR2","","Dicliptera brachiata","Annual, Perennial","","","","","","","",""
"DICH2","","Dicliptera chinensis","Perennial","","","","","","","",""
"DIKR","","Dicliptera krugii","Perennial","","","","","","","",""
"DIMA23","","Dicliptera martinicensis","Perennial","","","","","","","",""
"DIRE4","","Dicliptera resupinata","Perennial","","","","","","","",""
"DISE9","","Dicliptera sexangularis","Perennial","","","","","","","",""
"DICOR","","Dicoria","","","","","","","","",""
"DICA4","","Dicoria canescens","Annual","","","","","","","",""
"DICAB","","Dicoria canescens ssp. brandegeei","Annual","","","","","","","",""
"DICAC2","","Dicoria canescens ssp. canescens","Annual","","","","","","","",""
"DICAC","","Dicoria canescens ssp. clarkiae","Annual","","","","","","","",""
"DICAH","","Dicoria canescens ssp. hispidula","Annual","","","","","","","",""
"DICAW","","Dicoria canescens ssp. wetherillii","Annual","","","","","","","",""
"DICRA4","","Dicranella","","","","","","","","",""
"DICE70","","Dicranella cerviculata","","","","","","","","",""
"DICR70","","Dicranella crispa","","","","","","","","",""
"DIGR70","","Dicranella grevilleana","","","","","","","","",""
"DIHE70","","Dicranella heteromalla","","","","","","","","",""
"DIHI8","","Dicranella hilariana","","","","","","","","",""
"DIHO4","","Dicranella howei","","","","","","","","",""
"DILI9","","Dicranella lindigiana","","","","","","","","",""
"DIPA19","","Dicranella pacifica","","","","","","","","",""
"DIPA20","","Dicranella palustris","","","","","","","","",""
"DIRU70","","Dicranella rufescens","","","","","","","","",""
"DISC8","","Dicranella schreberiana","","","","","","","","",""
"DISCR","","Dicranella schreberiana var. robusta","","","","","","","","",""
"DISCS","","Dicranella schreberiana var. schreberiana","","","","","","","","",""
"DIST7","","Dicranella stickinensis","","","","","","","","",""
"DISU70","","Dicranella subulata","","","","","","","","",""
"DIVA7","","Dicranella varia","","","","","","","","",""
"DICRA","","Dicranocarpus","","","","","","","","",""
"DIPA3","","Dicranocarpus parviflorus","Annual","","","","","","","",""
"DICRA5","","Dicranodontium","","","","","","","","",""
"DIAS5","","Dicranodontium asperulum","","","","","","","","",""
"DIDE6","","Dicranodontium denudatum","","","","","","","","",""
"DISU3","","Dicranodontium subporodictyon","","","","","","","","",""
"DIUN7","","Dicranodontium uncinatum","","","","","","","","",""
"DICRA2","","Dicranopteris","","","","","","","","",""
"DIEM","","Dicranopteris emarginata","Perennial","","","","","","","",""
"DIEME","","Dicranopteris emarginata var. emarginata","Perennial","","","","","","","",""
"DIEMI","","Dicranopteris emarginata var. inaequalis","Perennial","","","","","","","",""
"DIFL2","","Dicranopteris flexuosa","Perennial","","","","","","","",""
"DILI","","Dicranopteris linearis","Perennial","","","","","","","",""
"DILIF","","Dicranopteris linearis var. ferruginea","Perennial","","","","","","","",""
"DILIL","","Dicranopteris linearis var. linearis","Perennial","","","","","","","",""
"DILIM","","Dicranopteris linearis var. maxima","Perennial","","","","","","","",""
"DIPE3","","Dicranopteris pectinata","Perennial","","","","","","","",""
"DIRU2","","Dicranopteris rubiginosa","Perennial","","","","","","","",""
"DICRA7","","Dicranoweisia","","","","","","","","",""
"DICI5","","Dicranoweisia cirrata","","","","","","","","",""
"DICR71","","Dicranoweisia crispula","","","","","","","","",""
"DICRA8","","Dicranum","","","","","","","","",""
"DIAC70","","Dicranum acutifolium","","","","","","","","",""
"DIAN70","","Dicranum angustum","","","","","","","","",""
"DIBO70","","Dicranum bonjeanii","","","","","","","","",""
"DIBR8","","Dicranum brevifolium","","","","","","","","",""
"DICO17","","Dicranum condensatum","","","","","","","","",""
"DIEL70","","Dicranum elongatum","","","","","","","","",""
"DIFL6","","Dicranum flagellare","","","","","","","","",""
"DIFR70","","Dicranum fragilifolium","","","","","","","","",""
"DIFU3","","Dicranum fulvum","","","","","","","","",""
"DIFU5","","Dicranum fuscescens","","","","","","","","",""
"DIFUF2","","Dicranum fuscescens var. flexicaule","","","","","","","","",""
"DIFUF","","Dicranum fuscescens var. fuscescens","","","","","","","","",""
"DIGR71","","Dicranum groenlandicum","","","","","","","","",""
"DIHO5","","Dicranum howellii","","","","","","","","",""
"DILA19","","Dicranum latifolium","","","","","","","","",""
"DILE6","","Dicranum leioneuron","","","","","","","","",""
"DIMA18","","Dicranum majus","","","","","","","","",""
"DIMAM","","Dicranum majus var. majus","","","","","","","","",""
"DIMAO","","Dicranum majus var. orthophyllum","","","","","","","","",""
"DIMO6","","Dicranum montanum","","","","","","","","",""
"DIMU70","","Dicranum muehlenbeckii","","","","","","","","",""
"DION","","Dicranum ontariense","","","","","","","","",""
"DIPA21","","Dicranum pallidisetum","","","","","","","","",""
"DIPO70","","Dicranum polysetum","","","","","","","","",""
"DIRH","","Dicranum rhabdocarpum","","","","","","","","",""
"DISC71","","Dicranum scoparium","","","","","","","","",""
"DISP7","","Dicranum spadiceum","","","","","","","","",""
"DISP8","","Dicranum spurium","","","","","","","","",""
"DITA","","Dicranum tauricum","","","","","","","","",""
"DIUN8","","Dicranum undulatum","","","","","","","","",""
"DIVI12","","Dicranum viride","","","","","","","","",""
"DICTA","","Dictamnus","","","","","","","","",""
"DIAL4","","Dictamnus albus","Perennial","","","","","","","",""
"DICTY","","Dictyonema","","","","","","","","",""
"DIGL6","","Dictyonema glabratum","","","","","","","","",""
"DIMO10","","Dictyonema moorei","","","","","","","","",""
"DISE15","","Dictyonema sericeum","","","","","","","","",""
"DIDIP","","Didiplis","","","","","","","","",""
"DIDI","","Didiplis diandra","Annual","","","","","","","",""
"DIDYM2","","Didymodon","","","","","","","","",""
"DIAS70","","Didymodon asperifolius","","","","","","","","",""
"DIFA7","","Didymodon fallax","","","","","","","","",""
"DIFAF","","Didymodon fallax var. fallax","","","","","","","","",""
"DIFAR70","","Didymodon fallax var. reflexus","","","","","","","","",""
"DIJO2","","Didymodon johansenii","","","","","","","","",""
"DILE7","","Didymodon leskeoides","","","","","","","","",""
"DIMA17","","Didymodon maximus","","","","","","","","",""
"DIMI8","","Didymodon michiganensis","","","","","","","","",""
"DINE4","","Didymodon nevadensis","","","","","","","","",""
"DINI4","","Didymodon nigrescens","","","","","","","","",""
"DINO3","","Didymodon norrisii","","","","","","","","",""
"DIPE8","","Didymodon perobtusus","","","","","","","","",""
"DIRE12","","Didymodon reedii","","","","","","","","",""
"DIRE13","","Didymodon revolutus","","","","","","","","",""
"DIRI6","","Didymodon rigidulus","","","","","","","","",""
"DIRIG","","Didymodon rigidulus var. gracilis","","","","","","","","",""
"DIRII","","Didymodon rigidulus var. icmadophilus","","","","","","","","",""
"DIRIR","","Didymodon rigidulus var. rigidulus","","","","","","","","",""
"DIRIS","","Didymodon rigidulus var. subulatus","","","","","","","","",""
"DISU4","","Didymodon subandreaeoides","","","","","","","","",""
"DITO4","","Didymodon tophaceus","","","","","","","","",""
"DIVI13","","Didymodon vinealis","","","","","","","","",""
"DIVIB","","Didymodon vinealis var. brachyphyllus","","","","","","","","",""
"DIVIF2","","Didymodon vinealis var. flaccidus","","","","","","","","",""
"DIVIL2","","Didymodon vinealis var. luridus","","","","","","","","",""
"DIVIN","","Didymodon vinealis var. nicholsonii","","","","","","","","",""
"DIVIR","","Didymodon vinealis var. rubiginosus","","","","","","","","",""
"DIVIV3","","Didymodon vinealis var. vinealis","","","","","","","","",""
"DIDYM3","","Didymoplexis","","","","","","","","",""
"DIFI4","","Didymoplexis fimbriata","","","","","","","","",""
"DIMI10","","Didymoplexis micradenia","Perennial","","","","","","","",""
"DIECT","","Diectomis","","","","","","","","",""
"DIFA2","","Diectomis fastigiata","Annual, Perennial","","","","","","","",""
"DIEFF","","Dieffenbachia","","","","","","","","",""
"DISE7","","Dieffenbachia seguine","Perennial","","","","","","","",""
"DIELL","","Diellia","","","","","","","","",""
"DILA24","","Diellia ×lauii","Perennial","","","","","","","",""
"DIER3","","Diellia erecta","Perennial","","","","","","","",""
"DIFA","","Diellia falcata","Perennial","","","","","","","",""
"DILA7","","Diellia laciniata","Perennial","","","","","","","",""
"DILE9","","Diellia leucostegioides","Perennial","","","","","","","",""
"DIMA3","","Diellia mannii","Perennial","","","","","","","",""
"DIPA25","","Diellia pallida","Perennial","","","","","","","",""
"DIPU8","","Diellia pumila","","","","","","","","",""
"DIUN3","","Diellia unisora","Perennial","","","","","","","",""
"DIENI","","Dienia","","","","","","","","",""
"DIVO2","","Dienia volkensii","Perennial","","","","","","","",""
"DIERV","","Diervilla","","","","","","","","",""
"DILO","","Diervilla lonicera","Perennial","Spring","Dark Green","4.8","7.0","32","50","Intermediate","-23"
"DIRI","","Diervilla rivularis","Perennial","","","","","","","",""
"DISE","","Diervilla sessilifolia","Perennial","","","","","","","",""
"DIETE","","Dietes","","","","","","","","",""
"DIGR13","","Dietes grandiflora","","","","","","","","",""
"DIIR","","Dietes irioides","","","","","","","","",""
"DIGER","","Digera","","","","","","","","",""
"DIMU8","","Digera muricata","Annual","","","","","","","",""
"DIGIT","","Digitalis","","","","","","","","",""
"DIFE3","","Digitalis ferruginea","","","","","","","","",""
"DIGR4","","Digitalis grandiflora","Biennial, Perennial","","","","","","","",""
"DILA3","","Digitalis lanata","Perennial","","","","","","","",""
"DILU","","Digitalis lutea","Perennial","","","","","","","",""
"DIMA25","","Digitalis mariana","","","","","","","","",""
"DIMAH","","Digitalis mariana ssp. heywoodii","","","","","","","","",""
"DIPU","","Digitalis purpurea","Biennial","Spring and Summer","Dark Green","5.5","7.0","40","60","Intolerant","-13"
"DIPUA2","","Digitalis purpurea ssp. amandiana","","","","","","","","",""
"DIPUP2","","Digitalis purpurea ssp. purpurea","Biennial","","","","","","","",""
"DIGIT2","","Digitaria","","","","","","","","",""
"DIUM2","","Digitaria ×umfolozi","","","","","","","","",""
"DIAB","","Digitaria abyssinica","Perennial","","","","","","","",""
"DIAE3","","Digitaria aequiglumis","Annual","","","","","","","",""
"DIAR7","","Digitaria arenicola","Perennial","","","","","","","",""
"DIAR3","","Digitaria argillacea","Annual, Perennial","","","","","","","",""
"DIAR15","","Digitaria argyrograpta","","","","","","","","",""
"DIBI","","Digitaria bicornis","Perennial","","","","","","","",""
"DIBR12","","Digitaria brownii","","","","","","","","",""
"DICA8","","Digitaria californica","Perennial","Spring and Summer","Green","7.5","8.3","5","14","Intolerant","-13"
"DICI","","Digitaria ciliaris","Annual","Summer and Fall","Green","5.0","7.0","35","50","Intolerant","2"
"DICO6","","Digitaria cognata","Perennial","","","","","","","",""
"DICR3","","Digitaria cruciata","","","","","","","","",""
"DIDE8","","Digitaria debilis","","","","","","","","",""
"DIDI19","","Digitaria diagonalis","","","","","","","","",""
"DIDI16","","Digitaria didactyla","","","","","","","","",""
"DIDI20","","Digitaria divaricatissima","","","","","","","","",""
"DIDI21","","Digitaria diversinervis","","","","","","","","",""
"DIDO","","Digitaria dolichophylla","Perennial","","","","","","","",""
"DIEG","","Digitaria eggersii","Perennial","","","","","","","",""
"DIER","","Digitaria eriantha","Perennial","Year Round","Green","5.0","7.0","35","60","Intolerant","37"
"DIERE","","Digitaria eriantha ssp. eriantha","","","","","","","","",""
"DIERP","","Digitaria eriantha ssp. pentzii","","","","","","","","",""
"DIER8","","Digitaria eriostachya","","","","","","","","",""
"DIEX4","","Digitaria exilis","","","","","","","","",""
"DIFI","","Digitaria filiformis","Annual, Perennial","","","","","","","",""
"DIFL","","Digitaria floridana","Annual","","","","","","","",""
"DIFU","","Digitaria fuscescens","Annual, Perennial","","","","","","","",""
"DIGA3","","Digitaria gaudichaudii","","","","","","","","",""
"DIGA2","","Digitaria gazensis","","","","","","","","",""
"DIGL7","","Digitaria glauca","","","","","","","","",""
"DIGR","","Digitaria gracillima","Perennial","","","","","","","",""
"DIHE7","","Digitaria herpocladus","","","","","","","","",""
"DIHE","","Digitaria heterantha","Perennial","","","","","","","",""
"DIHI3","","Digitaria hitchcockii","Perennial","","","","","","","",""
"DIHO","","Digitaria horizontalis","Annual","","","","","","","",""
"DIIB2","","Digitaria iburua","","","","","","","","",""
"DIIN2","","Digitaria insularis","Perennial","","","","","","","",""
"DIIS","","Digitaria ischaemum","Annual","","","","","","","",""
"DILE11","","Digitaria leptorrhachis","","","","","","","","",""
"DILO2","","Digitaria longiflora","Annual","","","","","","","",""
"DIMA16","","Digitaria macroglossa","","","","","","","","",""
"DIMA27","","Digitaria mariannensis","","","","","","","","",""
"DIMI3","","Digitaria milanjiana","Perennial","","","","","","","",""
"DIMO12","","Digitaria monodactyla","","","","","","","","",""
"DINA2","","Digitaria natalensis","","","","","","","","",""
"DINU","","Digitaria nuda","Annual","","","","","","","",""
"DIPA4","","Digitaria panicea","Annual","","","","","","","",""
"DIPA6","","Digitaria patens","Perennial","","","","","","","",""
"DIPA5","","Digitaria pauciflora","Perennial","","","","","","","",""
"DIPH4","","Digitaria phaeothrix","","","","","","","","",""
"DIPU9","","Digitaria pubiflora","Perennial","","","","","","","",""
"DIRA5","","Digitaria radicosa","Annual","","","","","","","",""
"DISA","","Digitaria sanguinalis","Annual","","","","","","","",""
"DISE16","","Digitaria seriata","","","","","","","","",""
"DISE3","","Digitaria serotina","Annual","","","","","","","",""
"DISE6","","Digitaria setigera","Annual, Perennial","","","","","","","",""
"DISE17","","Digitaria setivalva","","","","","","","","",""
"DISI2","","Digitaria similis","Perennial","","","","","","","",""
"DISI","","Digitaria simpsonii","Annual","","","","","","","",""
"DISM4","","Digitaria smutsii","","","","","","","","",""
"DIST","","Digitaria stenotaphrodes","Perennial","","","","","","","",""
"DISW3","","Digitaria swalleniana","","","","","","","","",""
"DISW4","","Digitaria swazilandensis","","","","","","","","",""
"DITE","","Digitaria texana","Perennial","","","","","","","",""
"DITI2","","Digitaria timorensis","","","","","","","","",""
"DITO6","","Digitaria tomentosa","","","","","","","","",""
"DITR10","","Digitaria tricholaeinoides","","","","","","","","",""
"DIUN10","","Digitaria uniglumis","","","","","","","","",""
"DIVA5","","Digitaria valida","","","","","","","","",""
"DIVE2","","Digitaria velutina","Annual","","","","","","","",""
"DIVI","","Digitaria villosa","Perennial","","","","","","","",""
"DIVI2","","Digitaria violascens","Annual, Perennial","","","","","","","",""
"DILLE2","","Dillenia","","","","","","","","",""
"DIIN6","","Dillenia indica","Perennial","","","","","","","",""
"DIOV3","","Dillenia ovata","","","","","","","","",""
"DIPH3","","Dillenia philippinensis","","","","","","","","",""
"DISU11","","Dillenia suffruticosa","Perennial","","","","","","","",""
"DILLW","","Dillwynia","","","","","","","","",""
"DIRE16","","Dillwynia retorta","","","","","","","","",""
"DILOM","","Dilomilis","","","","","","","","",""
"DIMO5","","Dilomilis montana","Perennial","","","","","","","",""
"DIMEL","","Dimelaena","","","","","","","","",""
"DICA20","","Dimelaena californica","","","","","","","","",""
"DIOR4","","Dimelaena oreina","","","","","","","","",""
"DIRA4","","Dimelaena radiata","","","","","","","","",""
"DITH2","","Dimelaena thysanota","","","","","","","","",""
"DIWE2","","Dimelaena weberi","","","","","","","","",""
"DIMER2","","Dimerella","","","","","","","","",""
"DILU3","","Dimerella lutea","","","","","","","","",""
"DIPI5","","Dimerella pineti","","","","","","","","",""
"DIMER","","Dimeresia","","","","","","","","",""
"DIHO2","","Dimeresia howellii","Annual","","","","","","","",""
"DIMER3","","Dimeria","","","","","","","","",""
"DICH14","","Dimeria chloridiformis","","","","","","","","",""
"DICI6","","Dimeria ciliata","","","","","","","","",""
"DIOR5","","Dimeria ornithopoda","","","","","","","","",""
"DIORT","","Dimeria ornithopoda var. tenera","Annual","","","","","","","",""
"DIMOC","","Dimocarpus","","","","","","","","",""
"DILO7","","Dimocarpus longan","Perennial","","","","","","","",""
"DIMOR","","Dimorphocarpa","","","","","","","","",""
"DICA31","","Dimorphocarpa candicans","Annual, Biennial","","","","","","","",""
"DIPI2","","Dimorphocarpa pinnatifida","Annual","","","","","","","",""
"DIWI2","","Dimorphocarpa wislizeni","Annual","","","","","","","",""
"DIMOR3","","Dimorphotheca","","","","","","","","",""
"DIPL4","","Dimorphotheca pluvialis","","","","","","","","",""
"DISI4","","Dimorphotheca sinuata","Annual","","","","","","","",""
"DINEB","","Dinebra","","","","","","","","",""
"DIRE7","","Dinebra retroflexa","Annual","","","","","","","",""
"DIOCL","","Dioclea","","","","","","","","",""
"DIBI7","","Dioclea bicolor","","","","","","","","",""
"DIHE2","","Dioclea hexandra","Perennial","","","","","","","",""
"DIME7","","Dioclea megacarpa","","","","","","","","",""
"DIMU","","Dioclea multiflora","Perennial","","","","","","","",""
"DIWI4","","Dioclea wilsonii","Perennial","","","","","","","",""
"DIODI","","Diodia","","","","","","","","",""
"DIAP","","Diodia apiculata","Perennial","","","","","","","",""
"DIDA","","Diodia dasycephala","Annual, Perennial","","","","","","","",""
"DIOC4","","Diodia ocymifolia","Perennial","","","","","","","",""
"DIRA6","","Diodia radula","Perennial","","","","","","","",""
"DISA8","","Diodia sarmentosa","Perennial","","","","","","","",""
"DISE10","","Diodia serrulata","Perennial","","","","","","","",""
"DITE2","","Diodia teres","Annual, Perennial","","","","","","","",""
"DITEA","","Diodia teres var. angustata","Annual, Perennial","","","","","","","",""
"DITEH2","","Diodia teres var. hirsutior","Annual, Perennial","","","","","","","",""
"DITEH","","Diodia teres var. hystricina","Perennial, AN","","","","","","","",""
"DITEO","","Diodia teres var. oblongifolia","Perennial, AN","","","","","","","",""
"DITET","","Diodia teres var. teres","Annual, Perennial","","","","","","","",""
"DIVI3","","Diodia virginiana","Perennial, AN","","","","","","","",""
"DIVIA","","Diodia virginiana var. attenuata","Annual, Perennial","","","","","","","",""
"DIVIL","","Diodia virginiana var. latifolia","Perennial, AN","","","","","","","",""
"DIVIV2","","Diodia virginiana var. virginiana","Annual, Perennial","","","","","","","",""
"DIONA","","Dionaea","","","","","","","","",""
"DIMU4","","Dionaea muscipula","Perennial","","","","","","","",""
"DIOSC","","Dioscorea","","","","","","","","",""
"DIAL2","","Dioscorea alata","Perennial","","","","","","","",""
"DIAL3","","Dioscorea altissima","Perennial","","","","","","","",""
"DIBU","","Dioscorea bulbifera","Perennial","","","","","","","",""
"DICA25","","Dioscorea cayenensis","Perennial","","","","","","","",""
"DICO15","","Dioscorea composita","","","","","","","","",""
"DICO16","","Dioscorea convolvulacea","","","","","","","","",""
"DIDU2","","Dioscorea dumetorum","","","","","","","","",""
"DIEL2","","Dioscorea elephantipes","","","","","","","","",""
"DIES2","","Dioscorea esculenta","Perennial","","","","","","","",""
"DIESE","","Dioscorea esculenta var. esculenta","Perennial","","","","","","","",""
"DIEST","","Dioscorea esculenta var. tiliaefolia","Perennial","","","","","","","",""
"DIFL8","","Dioscorea flabellifolia","Perennial","","","","","","","",""
"DIFL5","","Dioscorea floribunda","","","","","","","","",""
"DIFL4","","Dioscorea floridana","Perennial","","","","","","","",""
"DIHI7","","Dioscorea hispida","","","","","","","","",""
"DIJA2","","Dioscorea japonica","","","","","","","","",""
"DILA25","","Dioscorea latifolia","","","","","","","","",""
"DIMA15","","Dioscorea macrostachya","","","","","","","","",""
"DINU4","","Dioscorea nummularia","","","","","","","","",""
"DIOP","","Dioscorea oppositifolia","Perennial","","","","","","","",""
"DIPE2","","Dioscorea pentaphylla","Perennial","","","","","","","",""
"DIPI","","Dioscorea pilosiuscula","Perennial","","","","","","","",""
"DIPO2","","Dioscorea polygonoides","Perennial","","","","","","","",""
"DIPR4","","Dioscorea praehensilis","","","","","","","","",""
"DIPR5","","Dioscorea preussii","","","","","","","","",""
"DIQU","","Dioscorea quaternata","Perennial","","","","","","","",""
"DIRO","","Dioscorea rotundata","Perennial","","","","","","","",""
"DISA20","","Dioscorea sagittata","","","","","","","","",""
"DISA17","","Dioscorea sansibarensis","Perennial","","","","","","","",""
"DISP6","","Dioscorea spiculiflora","","","","","","","","",""
"DITR3","","Dioscorea trifida","Perennial","","","","","","","",""
"DIVI4","","Dioscorea villosa","Perennial","","","","","","","",""
"DIOSC2","","Dioscoreophyllum","","","","","","","","",""
"DICU3","","Dioscoreophyllum cumminsii","","","","","","","","",""
"DIOSP","","Diospyros","","","","","","","","",""
"DIBL3","","Diospyros blancoi","Perennial","","","","","","","",""
"DICA33","","Diospyros cathayensis","","","","","","","","",""
"DIDI15","","Diospyros digyna","Perennial","","","","","","","",""
"DIEB2","","Diospyros ebenum","Perennial","","","","","","","",""
"DIFE6","","Diospyros ferrea","","","","","","","","",""
"DIFEP","","Diospyros ferrea var. palauensis","Perennial","","","","","","","",""
"DIFO4","","Diospyros foliosa","Perennial","","","","","","","",""
"DIHI4","","Diospyros hillebrandii","Perennial","","","","","","","",""
"DIKA2","","Diospyros kaki","","","","","","","","",""
"DILO8","","Diospyros lotus","","","","","","","","",""
"DILY4","","Diospyros lyciodes","","","","","","","","",""
"DIMA24","","Diospyros maritima","Perennial","","","","","","","",""
"DIME8","","Diospyros mespiliformis","","","","","","","","",""
"DIRE6","","Diospyros revoluta","Perennial","","","","","","","",""
"DISA10","","Diospyros sandwicensis","Perennial","","","","","","","",""
"DISI3","","Diospyros sintenisii","Perennial","","","","","","","",""
"DITE3","","Diospyros texana","Perennial","","","","","","","",""
"DIVI5","","Diospyros virginiana","Perennial","Spring and Summer","Dark Green","4.7","7.5","30","80","Tolerant","-21"
"DIPHY2","","Diphylleia","","","","","","","","",""
"DICY2","","Diphylleia cymosa","Perennial","","","","","","","",""
"DIPHY","","Diphysa","","","","","","","","",""
"DITH","","Diphysa thurberi","Perennial","","","","","","","",""
"DIPHY3","","Diphyscium","","","","","","","","",""
"DICU4","","Diphyscium cumberlandianum","","","","","","","","",""
"DIFO3","","Diphyscium foliosum","","","","","","","","",""
"DIPLA3","","Diplacus","","","","","","","","",""
"DIAR6","","Diplacus aridus","Perennial","","","","","","","",""
"DIAU","","Diplacus aurantiacus","Perennial","","","","","","","",""
"DIAUA","","Diplacus aurantiacus ssp. aurantiacus","Perennial","","","","","","","",""
"DIAUA2","","Diplacus aurantiacus ssp. australis","Perennial","","","","","","","",""
"DICA12","","Diplacus calycinus","Perennial","","","","","","","",""
"DICL2","","Diplacus clevelandii","Perennial","","","","","","","",""
"DIFA3","","Diplacus fasciculatus","Perennial","","","","","","","",""
"DIGR5","","Diplacus grandiflorus","Perennial","","","","","","","",""
"DILI4","","Diplacus linearis","Perennial","","","","","","","",""
"DILO5","","Diplacus lompocensis","Perennial","","","","","","","",""
"DILO6","","Diplacus longiflorus","Perennial","","","","","","","",""
"DIPA10","","Diplacus parviflorus","Perennial","","","","","","","",""
"DIPU4","","Diplacus puniceus","Perennial","","","","","","","",""
"DIRU3","","Diplacus rutilus","Perennial","","","","","","","",""
"DIPLA4","","Diplasiolejeunea","","","","","","","","",""
"DIRU9","","Diplasiolejeunea rudolphiana","","","","","","","","",""
"DIPLA2","","Diplazium","","","","","","","","",""
"DICE","","Diplazium centripetale","Perennial","","","","","","","",""
"DICR","","Diplazium cristatum","Perennial","","","","","","","",""
"DIES","","Diplazium esculentum","Perennial","","","","","","","",""
"DIEX3","","Diplazium expansum","Perennial","","","","","","","",""
"DIGR2","","Diplazium grandifolium","Perennial","","","","","","","",""
"DIHY2","","Diplazium hymenodes","Perennial","","","","","","","",""
"DILH","","Diplazium lherminieri","Perennial","","","","","","","",""
"DILO3","","Diplazium lonchophyllum","Perennial","","","","","","","",""
"DIMA71","","Diplazium maximum","","","","","","","","",""
"DIME11","","Diplazium melanocaulon","Perennial","","","","","","","",""
"DIME","","Diplazium meyenianum","Perennial","","","","","","","",""
"DIMO4","","Diplazium molokaiense","Perennial","","","","","","","",""
"DIPL2","","Diplazium plantaginifolium","Perennial","","","","","","","",""
"DIPY","","Diplazium pycnocarpon","Perennial","","","","","","","",""
"DIRI2","","Diplazium riedelianum","Perennial","","","","","","","",""
"DISA3","","Diplazium sandwichianum","Perennial","","","","","","","",""
"DIST2","","Diplazium striatum","Perennial","","","","","","","",""
"DISY3","","Diplazium sylvaticum","Perennial","","","","","","","",""
"DIUN4","","Diplazium unilobum","Perennial","","","","","","","",""
"DIWO","","Diplazium woodwardioides","Perennial","","","","","","","",""
"DIPLO6","","Diplocaulobium","","","","","","","","",""
"DIEL5","","Diplocaulobium elongaticolle","Perennial","","","","","","","",""
"DIPLO4","","Diploicia","","","","","","","","",""
"DICA21","","Diploicia canescens","","","","","","","","",""
"DIPLO3","","Diplophyllum","","","","","","","","",""
"DIAL11","","Diplophyllum albicans","","","","","","","","",""
"DIAN7","","Diplophyllum andrewsii","","","","","","","","",""
"DIAP4","","Diplophyllum apiculatum","","","","","","","","",""
"DIAPA","","Diplophyllum apiculatum var. apiculatum","","","","","","","","",""
"DIAPT","","Diplophyllum apiculatum var. taxifolioides","","","","","","","","",""
"DIIM2","","Diplophyllum imbricatum","","","","","","","","",""
"DIMI11","","Diplophyllum microdontum","","","","","","","","",""
"DIOB4","","Diplophyllum obtusatum","","","","","","","","",""
"DIOB5","","Diplophyllum obtusifolium","","","","","","","","",""
"DIPL3","","Diplophyllum plicatum","","","","","","","","",""
"DITA3","","Diplophyllum taxifolium","","","","","","","","",""
"DITAM","","Diplophyllum taxifolium var. macrosticta","","","","","","","","",""
"DITAM2","","Diplophyllum taxifolium var. mucronatum","","","","","","","","",""
"DITAT","","Diplophyllum taxifolium var. taxifolium","","","","","","","","",""
"DIPLO2","","Diplopterygium","","","","","","","","",""
"DIPI3","","Diplopterygium pinnatum","Perennial","","","","","","","",""
"DIPLO5","","Diploschistes","","","","","","","","",""
"DIAC5","","Diploschistes actinostomus","","","","","","","","",""
"DIAE","","Diploschistes aeneus","","","","","","","","",""
"DIAR12","","Diploschistes arabiensis","","","","","","","","",""
"DIBA3","","Diploschistes badius","","","","","","","","",""
"DIBI5","","Diploschistes bisporus","","","","","","","","",""
"DICA30","","Diploschistes candidissimus","","","","","","","","",""
"DIDI13","","Diploschistes diacapsis","","","","","","","","",""
"DIGY","","Diploschistes gypsaceus","","","","","","","","",""
"DIHY3","","Diploschistes hypoleucus","","","","","","","","",""
"DIMU7","","Diploschistes muscorum","","","","","","","","",""
"DIMUM","","Diploschistes muscorum ssp. muscorum","","","","","","","","",""
"DISC60","","Diploschistes scruposus","","","","","","","","",""
"DIPLO","","Diplotaxis","","","","","","","","",""
"DIER5","","Diplotaxis erucoides","Annual, Biennial","","","","","","","",""
"DIMU2","","Diplotaxis muralis","Annual, Biennial","","","","","","","",""
"DISI8","","Diplotaxis siifolia","Annual","","","","","","","",""
"DITE4","","Diplotaxis tenuifolia","Perennial","","","","","","","",""
"DIPLO7","","Diplotomma","","","","","","","","",""
"DIAL7","","Diplotomma alboatrum","","","","","","","","",""
"DIAM4","","Diplotomma ambiguum","","","","","","","","",""
"DICH9","","Diplotomma chlorophaeum","","","","","","","","",""
"DIEP","","Diplotomma epipolium","","","","","","","","",""
"DINI3","","Diplotomma nivalis","","","","","","","","",""
"DIPE6","","Diplotomma penichrum","","","","","","","","",""
"DIVE5","","Diplotomma venustum","","","","","","","","",""
"DIPOD","","Dipodium","","","","","","","","",""
